key,ward,town,pop,ts_flood_ratio,ts_mean_depth,ts_max_depth,ts_exposure
千代田区|丸の内1丁目,千代田区,丸の内一丁目,7.0,0.9021612246445688,0.37209587839812924,4.95,0.33569047334085284
千代田区|丸の内2丁目,千代田区,丸の内二丁目,1.0,0.9943353003231704,0.3453413089373681,3.35,0.34338505413623466
千代田区|丸の内3丁目,千代田区,丸の内三丁目,0.0,0.7954911305270435,0.47655967903711133,1.07,0.37909899784083667
千代田区|大手町1丁目,千代田区,大手町一丁目,8.0,0.6261000158855458,0.3819174898314933,4.18,0.23911854645046574
千代田区|大手町2丁目,千代田区,大手町二丁目,0.0,0.8094675430331074,0.5496894848270996,4.46,0.4449557967141269
千代田区|内幸町1丁目,千代田区,内幸町一丁目,1.0,0.8739295630894468,0.7440337711069418,4.22,0.6502331085072831
千代田区|内幸町2丁目,千代田区,内幸町二丁目,0.0,0.15904035271834532,0.7684146341463415,3.13,0.12220893444857243
千代田区|有楽町1丁目,千代田区,有楽町一丁目,8.0,1.0,0.8173976342129208,2.82,0.8173976342129208
千代田区|有楽町2丁目,千代田区,有楽町二丁目,4.0,0.7086753480827384,0.46086614173228346,2.55,0.3266044734116746
千代田区|霞が関1丁目,千代田区,霞が関一丁目,0.0,0.0,0.0,0.0,0.0
千代田区|霞が関2丁目,千代田区,霞が関二丁目,0.0,0.0,0.0,0.0,0.0
千代田区|霞が関3丁目,千代田区,霞が関三丁目,2.0,0.0,0.0,0.0,0.0
千代田区|永田町1丁目,千代田区,永田町一丁目,11.0,0.0,0.0,0.0,0.0
千代田区|永田町2丁目,千代田区,永田町二丁目,589.0,0.0,0.0,0.0,0.0
千代田区|隼町,千代田区,隼町,262.0,0.0,0.0,0.0,0.0
千代田区|平河町1丁目,千代田区,平河町一丁目,1069.0,0.0,0.0,0.0,0.0
千代田区|平河町2丁目,千代田区,平河町二丁目,990.0,0.0,0.0,0.0,0.0
千代田区|麹町1丁目,千代田区,麴町一丁目,653.0,0.0,0.0,0.0,0.0
千代田区|麹町2丁目,千代田区,麴町二丁目,650.0,0.0,0.0,0.0,0.0
千代田区|麹町3丁目,千代田区,麴町三丁目,657.0,0.0,0.0,0.0,0.0
千代田区|麹町4丁目,千代田区,麴町四丁目,605.0,0.0,0.0,0.0,0.0
千代田区|麹町5丁目,千代田区,麴町五丁目,97.0,0.0,0.0,0.0,0.0
千代田区|麹町6丁目,千代田区,麴町六丁目,286.0,0.0,0.0,0.0,0.0
千代田区|紀尾井町,千代田区,紀尾井町,589.0,0.0,0.0,0.0,0.0
千代田区|一番町,千代田区,一番町,4100.0,0.0,0.0,0.0,0.0
千代田区|二番町,千代田区,二番町,1611.0,0.0,0.0,0.0,0.0
千代田区|三番町,千代田区,三番町,3807.0,0.0,0.0,0.0,0.0
千代田区|四番町,千代田区,四番町,2939.0,0.0,0.0,0.0,0.0
千代田区|五番町,千代田区,五番町,1011.0,0.0,0.0,0.0,0.0
千代田区|六番町,千代田区,六番町,1717.0,0.0,0.0,0.0,0.0
千代田区|皇居外苑,千代田区,皇居外苑,0.0,0.19285266159417672,1.14082774049217,2.3,0.22001166617438572
千代田区|日比谷公園,千代田区,日比谷公園,0.0,0.2625136724238584,0.7726078799249531,3.85,0.20282013190271087
千代田区|千代田,千代田区,千代田,77.0,0.007719450998408174,0.8513392857142856,1.9,0.006571871899091244
千代田区|北の丸公園,千代田区,北の丸公園,651.0,0.006038474993367147,0.9980769230769231,2.08,0.006026862541456826
千代田区|九段南1丁目,千代田区,九段南一丁目,26.0,0.32925198335957717,0.6914869888475836,3.11,0.22767346254540874
千代田区|九段南2丁目,千代田区,九段南二丁目,778.0,0.0,0.0,0.0,0.0
千代田区|九段南3丁目,千代田区,九段南三丁目,786.0,0.0,0.0,0.0,0.0
千代田区|九段南4丁目,千代田区,九段南四丁目,1211.0,0.0,0.0,0.0,0.0
千代田区|九段北1丁目,千代田区,九段北一丁目,1152.0,0.326900808142174,0.7250519031141868,1.81,0.23702005307304888
千代田区|九段北2丁目,千代田区,九段北二丁目,266.0,0.0,0.0,0.0,0.0
千代田区|九段北3丁目,千代田区,九段北三丁目,50.0,0.0,0.0,0.0,0.0
千代田区|九段北4丁目,千代田区,九段北四丁目,584.0,0.0,0.0,0.0,0.0
千代田区|富士見1丁目,千代田区,富士見一丁目,1103.0,0.0,0.0,0.0,0.0
千代田区|富士見2丁目,千代田区,富士見二丁目,3242.0,0.027334391718644102,0.7230000000000001,1.98,0.019762765212579688
千代田区|飯田橋1丁目,千代田区,飯田橋一丁目,376.0,0.19164356792915124,0.3147692307692308,0.68,0.060323498458929765
千代田区|飯田橋2丁目,千代田区,飯田橋二丁目,1522.0,0.8977552803610129,0.883517382413088,2.27,0.7931823953520901
千代田区|飯田橋3丁目,千代田区,飯田橋三丁目,463.0,0.6968714433250633,0.7203634232121923,2.4,0.5020006984524639
千代田区|飯田橋4丁目,千代田区,飯田橋四丁目,720.0,0.3354923204179376,0.43265432098765433,2.01,0.14515220208699534
千代田区|一ツ橋1丁目,千代田区,一ツ橋一丁目,0.0,0.28394822896249383,0.4276470588235294,3.63,0.12142962497396059
千代田区|一ツ橋2丁目,千代田区,一ツ橋二丁目,70.0,0.9027863875178983,1.3012133891213389,4.32,1.1747177349547748
千代田区|神田神保町1丁目,千代田区,神田神保町一丁目,1634.0,0.5318793012527518,0.5979447852760736,1.53,0.3180344545803648
千代田区|神田神保町2丁目,千代田区,神田神保町二丁目,1138.0,0.9972626459173255,1.2185223367697595,2.09,1.2151868096763727
千代田区|神田神保町3丁目,千代田区,神田神保町三丁目,603.0,0.8822146050112286,1.4725320056899005,2.84,1.2990892417661077
千代田区|神田三崎町1丁目,千代田区,神田三崎町一丁目,13.0,0.5162037624003928,0.7152112676056338,1.53,0.36919474724918233
千代田区|神田三崎町2丁目,千代田区,神田三崎町二丁目,467.0,0.8384930174510711,1.1119888734353267,2.18,0.9323949058588042
千代田区|神田三崎町3丁目,千代田区,神田三崎町三丁目,452.0,0.796447466197532,1.1487268518518519,2.14,0.9149005905104752
千代田区|西神田1丁目,千代田区,西神田一丁目,90.0,0.9447698003177895,0.6029518072289157,1.4,0.569650658516913
千代田区|西神田2丁目,千代田区,西神田二丁目,735.0,1.0,1.2693872549019607,2.18,1.2693872549019607
千代田区|西神田3丁目,千代田区,西神田三丁目,422.0,0.879865521764837,1.446241379310345,2.2,1.2724979258047944
千代田区|神田猿楽町1丁目,千代田区,神田猿楽町一丁目,526.0,0.0,0.0,0.0,0.0
千代田区|神田猿楽町2丁目,千代田区,神田猿楽町二丁目,633.0,0.15561616282623064,0.3621875,0.9,0.05636222897362541
千代田区|神田駿河台1丁目,千代田区,神田駿河台一丁目,112.0,0.0,0.0,0.0,0.0
千代田区|神田駿河台2丁目,千代田区,神田駿河台二丁目,525.0,0.00236652309504909,0.9566666666666667,1.79,0.002263973760930296
千代田区|神田駿河台3丁目,千代田区,神田駿河台三丁目,200.0,0.0,0.0,0.0,0.0
千代田区|神田駿河台4丁目,千代田区,神田駿河台四丁目,80.0,0.0,0.0,0.0,0.0
千代田区|神田錦町1丁目,千代田区,神田錦町一丁目,474.0,0.05773868986235733,0.9420689655172414,3.78,0.0543938278289518
千代田区|神田錦町2丁目,千代田区,神田錦町二丁目,444.0,0.11299518469790228,0.3390196078431372,2.63,0.03830758320444569
