key,ward,town,pop,town_area,n,n_flood,depth_sum,depth_max,elev_sum,elev_min,tk_coverage,tk_flood_ratio,tk_mean_depth,tk_max_depth,tk_mean_elev,tk_min_elev,tk_below_sea,expo
千代田区|丸の内1丁目,千代田区,丸の内一丁目,7.0,379200.51389348914,7229,2836.0,1372.85,3.09,23003.463205783002,-0.256,True,0.392308756397842,0.48407968970380816,3.09,3.182108618866095,-0.256,False,0.18990870106515423
千代田区|丸の内2丁目,千代田区,丸の内二丁目,1.0,142909.5396229178,2722,969.0,650.95,0.97,7998.9734763159995,2.481,True,0.35598824393828066,0.6717750257997936,0.97,2.938638308712711,2.481,False,0.23914401175606173
千代田区|丸の内3丁目,千代田区,丸の内三丁目,0.0,125331.37853334068,2397,702.0,539.23,1.73,7037.272934816,2.128749654,True,0.2928660826032541,0.7681339031339032,1.73,2.9358668897855655,2.128749654,False,0.22496036712557366
千代田区|大手町1丁目,千代田区,大手町一丁目,8.0,274876.21088235325,4763,1485.0,681.04,4.0,16527.339885442,0.091557101,True,0.3117782909930716,0.4586127946127946,4.0,3.4699432889863533,0.091557101,False,0.14298551333193363
千代田区|大手町2丁目,千代田区,大手町二丁目,0.0,175053.34366964785,3121,945.0,449.07,2.0,10387.307452740999,0.046250144,True,0.30278756808715157,0.4752063492063492,2.0,3.32819847893015,0.046250144,False,0.14388657481576417
千代田区|内幸町1丁目,千代田区,内幸町一丁目,1.0,121977.7937516567,2335,882.0,831.51,3.91,6479.078868648,0.05,True,0.3777301927194861,0.9427551020408164,3.91,2.774766110770021,0.05,False,0.35610706638115636
千代田区|内幸町2丁目,千代田区,内幸町二丁目,0.0,51559.241788918196,993,224.0,75.15,1.1,4507.097161165,2.501254819,True,0.2255790533736153,0.33549107142857143,1.1,4.538869245886204,2.501254819,False,0.0756797583081571
千代田区|有楽町1丁目,千代田区,有楽町一丁目,8.0,109799.37918710317,2096,790.0,996.15,2.01,4834.421523166,0.32,True,0.37690839694656486,1.2609493670886076,2.01,2.3064988183043895,0.32,False,0.4752624045801526
千代田区|有楽町2丁目,千代田区,有楽町二丁目,4.0,71683.03531008259,1368,533.0,378.49,2.78,3987.528396222,0.152530127,True,0.3896198830409357,0.7101125703564728,2.78,2.914859938758772,0.152530127,False,0.27667397660818716
千代田区|霞が関1丁目,千代田区,霞が関一丁目,0.0,200660.52962723075,3731,722.0,170.7,2.83,21703.659654169,0.0,True,0.19351380326990084,0.2364265927977839,2.83,5.817115961985795,0.0,False,0.04575180916644331
